File;Adapt;Parse
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/closures/src/javaclosure/Test.sugj;17031;64
init;3;0
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/closures/src/javaclosure/Closure.sugj;249;7
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/closures/src/javaclosure/ToRefType.sugj;8;60
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/closures/src/javaclosure/Transformation.sugj;6011;128
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/closures/src/javaclosure/Syntax.sugj;4631;46
