File;Adapt;Parse
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/concretesyntax/MetaExplode.sugj;17;172
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/xml/XmlTextTools.sugj;5656;120
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/xml/AsSax.sugj;5699;167
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/xml/Test.sugj;13712;105
init;167;0
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/concretesyntax/Java.sugj;4412;288
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/xml/XmlSyntax.sugj;4727;213
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/eblock/ConcatIds.sugj;22;67
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/eblock/EBlock.sugj;4237;128
