File;Adapt;Parse
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/concretesyntax/MetaExplode.sugj;15;206
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/xml/XmlTextTools.sugj;5669;101
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/xml/AsSax.sugj;5883;145
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/xml/Test.sugj;12049;78
init;179;0
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/concretesyntax/Java.sugj;4472;305
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/xml/XmlSyntax.sugj;4704;189
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/eblock/ConcatIds.sugj;22;58
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/eblock/EBlock.sugj;4074;99
