File;Adapt;Parse
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/concretesyntax/MetaExplode.sugj;6;172
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/xml/XmlTextTools.sugj;5518;123
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/xml/AsSax.sugj;6088;86
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/xml/Test.sugj;12184;147
init;176;0
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/concretesyntax/Java.sugj;4502;337
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/xml/XmlSyntax.sugj;4408;484
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/eblock/ConcatIds.sugj;8;55
/home/leo/workspace/APEG/experiments/languages/SugarJ/orign/case-studies/xml/src/eblock/EBlock.sugj;4167;105
